遊戲名稱,期別,開獎日期,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,第二區
威力彩,114000001,2025/1/2,4,12,13,22,27,32,05
威力彩,114000002,2025/1/6,4,14,17,29,31,38,07
威力彩,114000003,2025/1/9,1,4,15,16,31,34,04
威力彩,114000004,2025/1/13,3,13,22,26,28,33,02
威力彩,114000005,2025/1/16,10,16,19,21,31,37,03
威力彩,114000006,2025/1/20,8,11,13,27,29,37,02
威力彩,114000007,2025/1/23,7,10,13,22,25,29,02
威力彩,114000008,2025/1/27,2,10,15,18,25,35,08
威力彩,114000009,2025/1/30,3,17,20,21,24,37,06
威力彩,114000010,2025/2/3,4,7,15,31,33,36,06
威力彩,114000011,2025/2/6,6,18,21,32,33,37,01
威力彩,114000012,2025/2/10,6,7,8,13,14,24,04
威力彩,114000013,2025/2/13,2,3,11,18,30,36,07
威力彩,114000014,2025/2/17,1,17,21,23,31,34,01
威力彩,114000015,2025/2/20,5,6,15,19,32,37,08
威力彩,114000016,2025/2/24,7,15,16,23,24,35,02
威力彩,114000017,2025/2/27,1,7,8,24,26,34,02
威力彩,114000018,2025/3/3,12,15,20,23,26,32,05
威力彩,114000019,2025/3/6,5,9,15,17,18,29,04
威力彩,114000020,2025/3/10,13,16,17,20,27,31,02
威力彩,114000021,2025/3/13,3,4,13,16,24,25,07
威力彩,114000022,2025/3/17,1,2,3,12,18,28,04
威力彩,114000023,2025/3/20,1,3,12,18,31,38,08
威力彩,114000024,2025/3/24,3,17,22,24,25,33,03
威力彩,114000025,2025/3/27,7,8,21,26,32,35,02
威力彩,114000026,2025/3/31,2,6,7,9,12,20,04
威力彩,114000027,2025/4/3,2,9,15,21,29,36,07
威力彩,114000028,2025/4/7,13,21,24,25,31,36,04
威力彩,114000029,2025/4/10,9,16,20,23,29,34,04
威力彩,114000030,2025/4/14,1,5,9,20,29,38,02
威力彩,114000031,2025/4/17,1,2,3,5,17,27,08
威力彩,114000032,2025/4/21,5,9,20,29,35,36,08
威力彩,114000033,2025/4/24,7,17,25,29,36,37,05
威力彩,114000034,2025/4/28,2,14,17,19,29,32,05
威力彩,114000035,2025/5/1,14,19,20,25,27,30,04
威力彩,114000036,2025/5/5,7,8,9,11,19,35,04
威力彩,114000037,2025/5/8,5,8,9,17,31,37,01
威力彩,114000038,2025/5/12,2,8,26,34,35,38,04
威力彩,114000039,2025/5/15,1,2,8,21,23,26,01
威力彩,114000040,2025/5/19,10,15,22,27,29,37,03
威力彩,114000041,2025/5/22,6,12,21,25,34,38,03
威力彩,114000042,2025/5/26,13,14,17,23,24,37,06
威力彩,114000043,2025/5/29,5,6,9,20,22,35,07
威力彩,114000044,2025/6/2,1,5,16,18,21,31,02
威力彩,114000045,2025/6/5,12,16,20,22,34,35,05
威力彩,114000046,2025/6/9,3,7,9,19,24,31,02
威力彩,114000047,2025/6/12,5,12,13,15,26,38,05
威力彩,114000048,2025/6/16,4,11,12,18,21,26,03
威力彩,114000049,2025/6/19,1,7,20,21,36,38,06
威力彩,114000050,2025/6/23,6,11,20,31,32,33,06
威力彩,114000051,2025/6/26,1,7,15,23,26,38,04
威力彩,114000052,2025/6/30,1,3,9,15,22,27,05
威力彩,114000053,2025/7/3,11,14,20,27,30,38,06
威力彩,114000054,2025/7/7,7,9,14,23,37,38,03
威力彩,114000055,2025/7/10,1,2,7,14,28,31,02
威力彩,114000056,2025/7/14,3,6,19,22,37,38,04
威力彩,114000057,2025/7/17,1,4,6,21,25,28,02
威力彩,114000058,2025/7/21,10,18,20,24,36,38,04
威力彩,114000059,2025/7/24,3,4,7,10,33,38,05
威力彩,114000060,2025/7/28,12,16,18,22,24,36,05
威力彩,114000061,2025/7/31,4,9,18,20,29,31,03
威力彩,114000062,2025/8/4,15,16,22,27,30,32,01
威力彩,114000063,2025/8/7,2,4,7,8,18,25,07
威力彩,114000064,2025/8/11,3,5,9,16,18,19,02
威力彩,114000065,2025/8/14,1,11,14,17,19,36,03
威力彩,114000066,2025/8/18,2,5,8,17,20,26,06
威力彩,114000067,2025/8/21,2,4,11,12,16,19,02
威力彩,114000068,2025/8/25,1,12,14,21,36,37,03
威力彩,114000069,2025/8/28,9,13,14,17,23,30,05
威力彩,114000070,2025/9/1,2,7,16,18,28,29,04
威力彩,114000071,2025/9/4,6,7,9,11,21,38,08
威力彩,114000072,2025/9/8,7,8,14,15,25,36,06
威力彩,114000073,2025/9/11,11,18,21,27,31,35,06
威力彩,114000074,2025/9/15,4,16,20,33,34,38,02
威力彩,114000075,2025/9/18,10,20,25,28,32,36,02
威力彩,114000076,2025/9/22,10,11,14,22,31,33,02
威力彩,114000077,2025/9/25,8,12,14,24,28,35,03
威力彩,114000078,2025/9/29,12,16,17,20,27,36,03
威力彩,114000079,2025/10/2,3,5,12,24,27,30,07
威力彩,114000080,2025/10/6,5,6,9,14,15,37,05
威力彩,114000081,2025/10/9,1,6,11,20,34,35,08
威力彩,114000082,2025/10/13,4,6,8,18,24,28,01
威力彩,114000083,2025/10/16,8,9,13,16,26,35,02
威力彩,114000084,2025/10/20,8,12,19,22,24,32,05
威力彩,114000085,2025/10/23,5,9,11,21,32,35,08
威力彩,114000086,2025/10/27,1,11,16,20,27,36,06
威力彩,114000087,2025/10/30,13,14,17,20,21,24,02
威力彩,114000088,2025/11/3,4,18,20,30,32,35,04
威力彩,114000089,2025/11/6,11,18,20,25,29,37,08
威力彩,114000090,2025/11/10,6,12,28,29,31,32,04
威力彩,114000091,2025/11/13,2,9,11,15,26,34,04
威力彩,114000092,2025/11/17,17,18,19,28,34,36,06
威力彩,114000093,2025/11/20,3,8,17,20,31,35,07
威力彩,114000094,2025/11/24,7,9,19,20,33,34,07
威力彩,114000095,2025/11/27,4,9,16,26,33,35,02
威力彩,114000096,2025/12/1,5,7,8,11,32,37,02
威力彩,114000097,2025/12/4,3,6,7,10,29,33,01
威力彩,114000098,2025/12/8,5,14,15,20,32,37,02
威力彩,114000099,2025/12/11,5,6,11,15,22,37,07
威力彩,114000100,2025/12/15,19,26,28,31,32,34,06
威力彩,114000101,2025/12/18,8,15,16,21,29,37,05
威力彩,114000102,2025/12/22,5,16,21,25,32,34,08
威力彩,114000103,2025/12/25,6,12,21,22,28,34,08
威力彩,114000104,2025/12/29,1,3,9,11,18,32,06
威力彩,115000001,2026/1/1,7,14,22,23,31,35,01
威力彩,115000002,2026/1/5,11,14,19,25,34,37,04
威力彩,115000003,2026/1/8,7,17,25,26,27,33,03
威力彩,115000004,2026/1/12,1,9,14,17,33,38,03
威力彩,115000005,2026/1/15,8,10,16,26,31,38,05
威力彩,115000006,2026/1/19,10,16,20,23,35,37,05
威力彩,115000007,2026/1/22,11,17,29,30,34,35,06
威力彩,115000008,2026/1/26,3,8,12,26,32,38,04
威力彩,115000009,2026/1/29,5,10,15,17,23,25,05
威力彩,115000010,2026/2/2,1,12,14,15,27,29,05
威力彩,115000011,2026/2/5,7,22,28,34,36,37,07
威力彩,115000012,2006/2/9,13,14,16,33,34,37,02
